Gene.ID	Gene.Name	Log2FC	FDR	AveExpr	undif.r1	undif.r2	undif.r3	dif.r1	dif.r2	dif.r3
ENSG00000000003	TSPAN6	0.928735032	0.00089991	4.59483431765995	370	343	367	722	774	669
ENSG00000000419	DPM1	0.085785467	0.452901651	5.60166247775251	1001	912	998	1004	1136	1107
ENSG00000000457	SCYL3	-0.024392239	0.812642033	4.36549964456653	453	421	409	390	463	476
ENSG00000000460	C1orf112	-1.206518087	0.00377653	4.30032637539516	674	589	603	159	380	353
ENSG00000000971	CFH	6.008135207	0.003410983	-2.33204998085404	0	0	0	70	28	21
ENSG00000001036	FUCA2	0.729503179	0.070429015	4.85681463578834	499	469	416	1185	690	651
ENSG00000001084	GCLC	0.343415032	0.005901196	5.31605474322478	754	754	676	880	1020	1016
ENSG00000001167	NFYA	0.088467281	0.363804735	6.65534793163487	2129	2000	1910	1815	2553	2446
ENSG00000001460	STPG1	0.450003301	0.005384756	3.99964085127644	297	306	244	353	433	431
ENSG00000001461	NIPAL3	0.732336418	0.004318644	4.49150536332576	404	360	314	677	636	576
ENSG00000001497	LAS1L	-0.318541532	0.012965322	6.61671478746969	2404	2368	2013	1574	2025	2149
ENSG00000001617	SEMA3F	3.189243969	7.69219e-05	4.00781150174481	140	123	74	1088	1096	988
ENSG00000001629	ANKIB1	0.237201188	0.016555221	7.42834623514353	3455	3270	3077	3480	4390	4324
ENSG00000001630	CYP51A1	1.110894516	0.001555688	3.60412941477963	194	190	133	291	496	397
ENSG00000001631	KRIT1	-0.041192044	0.738591572	4.01989699715355	357	326	334	281	384	379
ENSG00000002016	RAD52	-0.127082702	0.39857969	3.83236953375458	347	283	293	229	323	342
ENSG00000002330	BAD	0.170379361	0.23932958	4.9934733275728	670	684	510	730	732	733
ENSG00000002549	LAP3	-0.458303022	0.001347184	5.83383437013634	1482	1404	1248	964	1120	1078
ENSG00000002586	CD99	2.084939629	0.000477582	6.45948165128657	943	930	773	5079	3701	3201
ENSG00000002726	AOC1	-0.542572702	0.251396555	-1.65259115133923	10	8	5	4	7	5
ENSG00000002745	WNT16	0.186319978	0.774951554	-1.5340882943178	7	5	7	3	14	9
ENSG00000002746	HECW1	-4.012528391	0.001634743	-2.37308140543316	12	18	17	1	1	0
ENSG00000002822	MAD1L1	-0.919449339	0.04611522	-0.0318828047966928	33	25	25	8	22	18
ENSG00000002834	LASP1	0.422866991	0.003617442	6.97294998800279	2331	2382	2002	2961	3431	3059
ENSG00000002919	SNX11	0.112034708	0.18362343	5.63699951782367	1059	989	910	1020	1213	1130
ENSG00000002933	TMEM176A	-0.268684697	0.708937888	-1.31595883977846	16	12	3	6	7	10
ENSG00000003056	M6PR	-0.032424941	0.78873729	6.90533713839365	2551	2490	2441	2555	2634	2499
ENSG00000003096	KLHL13	0.19988937	0.047658765	8.40857558666488	7229	6367	6029	6581	8644	8579
ENSG00000003137	CYP26B1	7.769030569	0.006580467	2.19206770178448	7	7	4	2786	1254	905
ENSG00000003147	ICA1	0.308785139	0.086225298	7.03258798872167	2247	2399	2629	2848	3041	3607
ENSG00000003249	DBNDD1	-0.036367505	0.762964703	6.24521568288943	1753	1740	1293	1348	1855	1697
ENSG00000003393	ALS2	0.041777956	0.708005518	6.03971232833788	1448	1340	1224	1135	1616	1634
ENSG00000003402	CFLAR	0.855303992	0.000486491	4.70758697406655	422	443	339	704	786	794
ENSG00000003436	TFPI	3.29918896	0.049089547	-0.680726573369118	5	4	2	135	27	22
ENSG00000003509	NDUFAF7	-0.394798268	0.004808579	4.69317966060312	671	582	581	427	534	507
ENSG00000003756	RBM5	-0.039239783	0.637462426	6.58116202073343	2118	1986	1892	1765	2175	2216
