Gene.ID	Chrom	Gene.Name	Biotype	SRR3133925_nodiff_rep1	SRR3133926_nodiff_rep2	SRR3133927_nodiff_rep3	SRR3133928_diff_rep1	SRR3133929_diff_rep2	SRR3133930_diff_rep3
ENSG00000186092	1	OR4F5	protein_coding	0	0	0	0	0	0
ENSG00000284733	1	OR4F29	protein_coding	0	0	0	0	0	0
ENSG00000284662	1	OR4F16	protein_coding	0	0	0	0	0	0
ENSG00000187634	1	SAMD11	protein_coding	939	634	434	59	22	7
ENSG00000188976	1	NOC2L	protein_coding	6712	6495	5534	2910	3919	3623
ENSG00000187961	1	KLHL17	protein_coding	1531	1531	1220	431	625	597
ENSG00000187583	1	PLEKHN1	protein_coding	43	36	30	10	16	13
ENSG00000187642	1	PERM1	protein_coding	27	27	18	8	9	6
ENSG00000188290	1	HES4	protein_coding	375	353	284	310	375	375
ENSG00000187608	1	ISG15	protein_coding	35	30	23	73	86	70
ENSG00000188157	1	AGRN	protein_coding	8564	8314	5916	7304	11135	10046
ENSG00000237330	1	RNF223	protein_coding	0	0	1	0	1	0
ENSG00000131591	1	C1orf159	protein_coding	908	888	688	572	647	741
ENSG00000162571	1	TTLL10	protein_coding	1	2	0	1	1	0
ENSG00000186891	1	TNFRSF18	protein_coding	7	7	3	2	3	2
ENSG00000186827	1	TNFRSF4	protein_coding	54	51	41	2	2	3
ENSG00000078808	1	SDF4	protein_coding	3663	3585	2601	7885	4454	3955
ENSG00000176022	1	B3GALT6	protein_coding	1659	1558	1309	1358	1588	1564
ENSG00000184163	1	C1QTNF12	protein_coding	22	22	24	29	29	25
ENSG00000160087	1	UBE2J2	protein_coding	1946	1856	1500	1225	1718	1699
ENSG00000162572	1	SCNN1D	protein_coding	298	313	232	248	249	245
ENSG00000131584	1	ACAP3	protein_coding	4576	4831	3918	2186	3389	3146
ENSG00000169972	1	PUSL1	protein_coding	343	347	252	155	251	228
ENSG00000127054	1	INTS11	protein_coding	3225	3148	2558	2374	2834	2912
ENSG00000224051	1	CPTP	protein_coding	694	659	490	736	950	835
ENSG00000169962	1	TAS1R3	protein_coding	28	23	23	31	48	43
ENSG00000107404	1	DVL1	protein_coding	2381	2328	1824	1696	2015	1808
ENSG00000162576	1	MXRA8	protein_coding	704	732	525	7602	7349	6440
ENSG00000175756	1	AURKAIP1	protein_coding	2398	2242	1938	1686	1993	1842
ENSG00000221978	1	CCNL2	protein_coding	7956	8093	6884	7448	8363	8823
ENSG00000242485	1	MRPL20	protein_coding	1783	1611	1552	1370	1595	1561
ENSG00000235098	1	ANKRD65	protein_coding	19	17	12	49	68	74
ENSG00000205116	1	TMEM88B	protein_coding	13	12	8	17	30	32
ENSG00000179403	1	VWA1	protein_coding	271	273	209	1193	940	854
ENSG00000215915	1	ATAD3C	protein_coding	17	27	15	43	42	47
ENSG00000160072	1	ATAD3B	protein_coding	1428	1432	1100	791	1128	1124
ENSG00000197785	1	ATAD3A	protein_coding	1207	1086	959	512	732	612
ENSG00000205090	1	TMEM240	protein_coding	129	152	123	241	246	240
ENSG00000160075	1	SSU72	protein_coding	2222	2030	1776	1573	1963	1858
ENSG00000228594	1	FNDC10	protein_coding	698	648	468	629	666	691
ENSG00000197530	1	MIB2	protein_coding	1352	1447	1039	1229	1367	1299
ENSG00000189409	1	MMP23B	protein_coding	5	2	5	22	24	31
ENSG00000248333	1	CDK11B	protein_coding	1755	1693	1431	1377	1720	1537
ENSG00000189339	1	SLC35E2B	protein_coding	2864	2899	2390	1766	2565	2430
ENSG00000008128	1	CDK11A	protein_coding	158	155	112	106	125	140
ENSG00000215790	1	SLC35E2A	protein_coding	490	490	403	437	481	462
ENSG00000008130	1	NADK	protein_coding	1988	1988	1569	1481	1753	1780
ENSG00000078369	1	GNB1	protein_coding	20699	20087	17719	18996	23681	23592
ENSG00000169885	1	CALML6	protein_coding	9	13	10	43	31	30
ENSG00000178821	1	TMEM52	protein_coding	88	73	52	164	148	164
ENSG00000142609	1	CFAP74	protein_coding	27	21	21	6	15	14
ENSG00000187730	1	GABRD	protein_coding	132	135	88	28	81	49
ENSG00000067606	1	PRKCZ	protein_coding	863	893	774	645	893	809
ENSG00000162585	1	FAAP20	protein_coding	1676	1576	1238	1788	1934	1757
ENSG00000157933	1	SKI	protein_coding	2225	2149	1777	2133	2917	2643
ENSG00000116151	1	MORN1	protein_coding	375	360	228	298	343	350
ENSG00000157916	1	RER1	protein_coding	2358	2254	2014	3025	2999	3081
ENSG00000157911	1	PEX10	protein_coding	493	447	350	414	414	401
ENSG00000149527	1	PLCH2	protein_coding	1787	1887	1575	159	499	615
ENSG00000157881	1	PANK4	protein_coding	963	945	807	499	661	640
ENSG00000197921	1	HES5	protein_coding	1	0	0	0	0	0
ENSG00000157873	1	TNFRSF14	protein_coding	20	23	15	23	21	30
ENSG00000157870	1	PRXL2B	protein_coding	1452	1449	1093	1438	1846	1543
ENSG00000142606	1	MMEL1	protein_coding	87	69	51	135	185	185
ENSG00000215912	1	TTC34	protein_coding	37	32	26	21	14	16
ENSG00000169717	1	ACTRT2	protein_coding	0	0	0	0	0	0
ENSG00000142611	1	PRDM16	protein_coding	0	0	0	1	0	4
ENSG00000130762	1	ARHGEF16	protein_coding	212	197	153	45	81	77
ENSG00000162591	1	MEGF6	protein_coding	724	739	645	334	832	710
ENSG00000158109	1	TPRG1L	protein_coding	1045	1038	948	1297	1126	1195
ENSG00000116213	1	WRAP73	protein_coding	1922	1893	1597	1100	1580	1602
ENSG00000078900	1	TP73	protein_coding	517	499	390	143	289	286
ENSG00000162592	1	CCDC27	protein_coding	23	27	25	35	55	48
ENSG00000235169	1	SMIM1	protein_coding	65	76	49	130	143	142
ENSG00000130764	1	LRRC47	protein_coding	2284	2173	1921	1646	2070	1885
ENSG00000116198	1	CEP104	protein_coding	969	955	836	913	1178	1116
ENSG00000169598	1	DFFB	protein_coding	341	372	280	185	298	286
ENSG00000198912	1	C1orf174	protein_coding	564	580	491	478	596	562
ENSG00000196581	1	AJAP1	protein_coding	47	57	35	20	45	33
ENSG00000131697	1	NPHP4	protein_coding	894	904	743	403	484	491
ENSG00000069424	1	KCNAB2	protein_coding	578	587	471	367	401	363
ENSG00000116254	1	CHD5	protein_coding	318	273	186	342	481	406
ENSG00000285629	1	AL031847.2	protein_coding	0	0	0	0	0	0
ENSG00000116251	1	RPL22	protein_coding	2245	2035	2073	1361	1698	1625
ENSG00000158286	1	RNF207	protein_coding	543	587	468	185	293	297
ENSG00000116237	1	ICMT	protein_coding	2918	2820	2562	2517	2779	2544
ENSG00000173673	1	HES3	protein_coding	6	3	2	1	0	1
ENSG00000158292	1	GPR153	protein_coding	1583	1568	1255	2049	2646	2364
ENSG00000097021	1	ACOT7	protein_coding	3989	3784	3372	3023	3842	3844
ENSG00000069812	1	HES2	protein_coding	9	7	8	16	45	38
ENSG00000187017	1	ESPN	protein_coding	16	21	7	3	10	9
ENSG00000215788	1	TNFRSF25	protein_coding	700	699	628	872	1222	1304
ENSG00000171680	1	PLEKHG5	protein_coding	2003	2106	1751	2144	3560	3751
