geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMEX60DD000001	38.75552297	0.160017683	0.74875037	0.213712994	0.830770878	0.999973456
AMEX60DD000002	74.50889364	-0.186768595	0.530994344	-0.35173368	0.725038	0.999973456
AMEX60DD000003	519.7259785	-0.167513194	0.318934567	-0.525227467	0.599425073	0.999973456
AMEX60DD000004	235.657327	-0.162284356	0.376438908	-0.431104099	0.66639268	0.999973456
AMEX60DD000005	130.1516605	-0.137386901	0.419039486	-0.327861469	0.743016408	0.999973456
AMEX60DD000006	68.15811455	-0.055968959	0.60714219	-0.092184269	0.926551636	0.999973456
AMEX60DD000016	657.9702775	0.745614635	0.242789246	3.071036503	0.002133171	0.082216392
AMEX60DD000021	48.40062099	0.992726382	1.429952816	0.69423716	0.487533492	0.999973456
AMEX60DD000026	325.3591371	0.090080418	0.43365113	0.207725547	0.835443269	0.999973456
AMEX60DD000029	192.41189	0.077505595	0.380718603	0.203577116	0.838683977	0.999973456
AMEX60DD000030	134.2633995	0.680701532	0.495758352	1.373051064	0.169736473	0.999973456
AMEX60DD000031	20.12744444	0.565962257	0.975594014	0.580120673	0.561833243	0.999973456
AMEX60DD000033	47.18601982	0.262893072	0.679826238	0.386706275	0.69897367	0.999973456
AMEX60DD000036	902.3527024	-0.176404666	0.233154853	-0.756598731	0.449290302	0.999973456
AMEX60DD000038	705.4359542	-0.86535191	0.768028836	-1.126717995	0.259861732	0.999973456
AMEX60DD000048	984.9746288	0.962127957	0.494864628	1.944224547	0.051868379	0.645522052
AMEX60DD000050	3424.882499	-0.353123293	0.259172388	-1.362503529	0.173039031	0.999973456
AMEX60DD000051	921.7688063	-0.010372242	0.285236673	-0.036363633	0.970992412	0.999973456
AMEX60DD000053	16.35333062	-0.207481606	1.33764842	-0.155109222	0.876735212	0.999973456
AMEX60DD000055	189.08677	1.248167799	0.439255144	2.841555341	0.004489406	0.137415317
AMEX60DD000058	394.7183953	-0.220146447	0.379476123	-0.580132541	0.561825241	0.999973456
AMEX60DD000059	390.0050691	0.441215802	0.322394049	1.368560625	0.171136659	0.999973456
AMEX60DD000066	14.10335216	1.45488144	1.318113582	1.103760298	0.269697131	0.999973456
AMEX60DD000067	13.29847605	1.608110096	1.360526493	1.181976319	0.237215097	0.999973456
AMEX60DD000069	73.74409257	1.849274402	0.953335986	1.939792925	0.052404861	0.650474295
AMEX60DD000072	7337.526839	-0.087215623	0.226310996	-0.385379519	0.699956255	0.999973456
AMEX60DD000074	145.9867829	-0.294794322	0.453423036	-0.650152946	0.515593432	0.999973456
AMEX60DD000075	16.6478915	-0.483691887	1.122008463	-0.431094687	0.666399524	0.999973456
AMEX60DD000080	92.85683033	2.831471854	0.667517029	4.241797182	2.21737030286565e-05	0.002628592
AMEX60DD000081	118.2910257	1.224069056	0.462690521	2.645545996	0.00815592	0.203516653
AMEX60DD000083	35.48530294	1.136200617	1.269481116	0.89501183	0.370780764	0.999973456
AMEX60DD000084	715.6490492	1.189284124	0.343271744	3.464555841	0.000531108	0.02961084
AMEX60DD000095	36.35289098	-0.108316757	0.741802202	-0.146018382	0.883906877	0.999973456
AMEX60DD000100	18.03742526	-0.15024828	1.148968053	-0.130768022	0.89595882	0.999973456
AMEX60DD000103	1385.471808	0.001824558	0.351952818	0.005184098	0.995863706	0.999973456
AMEX60DD000104	52.27381955	-0.041601611	0.675548911	-0.061581938	0.950895761	0.999973456
AMEX60DD000105	280.9180222	-0.256211415	0.373702558	-0.68560252	0.492963792	0.999973456
AMEX60DD000106	9.622332091	0.341814532	1.391266727	0.245685839	0.805925435	NA
AMEX60DD000108	67.38215886	-0.436289898	0.573303029	-0.761010978	0.44665051	0.999973456
AMEX60DD000109	1040.600154	-0.059300626	0.233863404	-0.253569498	0.799828164	0.999973456
AMEX60DD000110	830.7010017	0.159395389	0.396899315	0.401601573	0.687977272	0.999973456
AMEX60DD000120	398.6658592	-0.445178857	0.965611597	-0.461033047	0.644774895	0.999973456
AMEX60DD000122	1259.156457	-0.360466872	0.404887373	-0.890289239	0.373310598	0.999973456
AMEX60DD000123	64.78169942	-0.298401929	0.593943655	-0.502407807	0.615380689	0.999973456
AMEX60DD000124	1302.612755	-0.073934364	0.365642295	-0.20220408	0.839757183	0.999973456
AMEX60DD000126	216.5569804	0.157915785	0.360923552	0.437532503	0.661725209	0.999973456
AMEX60DD000127	171.8486475	-0.086492846	0.413179628	-0.20933473	0.834186942	0.999973456
AMEX60DD000128	865.4113422	-0.055915207	0.302718508	-0.184710236	0.853456317	0.999973456
AMEX60DD000129	1886.445412	-0.122767442	0.222591436	-0.551537128	0.581265522	0.999973456
AMEX60DD000131	2085.321351	-0.021674631	0.279876796	-0.077443471	0.93827076	0.999973456
AMEX60DD000132	1371.37204	-0.246419466	0.229579596	-1.073350899	0.283113706	0.999973456
AMEX60DD000133	2543.789271	-0.08881672	0.221072314	-0.40175415	0.687864969	0.999973456
AMEX60DD000134	2384.23609	-0.15180335	0.203196254	-0.7470775	0.455016781	0.999973456
AMEX60DD000135	15.31530855	-0.585959716	1.094862217	-0.53519037	0.592518224	0.999973456
AMEX60DD000137	21766.65864	-0.032656372	0.177311363	-0.184175292	0.853875942	0.999973456
AMEX60DD000141	440.0786712	-0.19064791	0.50765785	-0.3755441	0.707255855	0.999973456
AMEX60DD000142	96.98958086	0.151456997	0.654283665	0.231485218	0.816937868	0.999973456
AMEX60DD000144	259.9717065	0.051911459	0.638204344	0.08133987	0.935171667	0.999973456
AMEX60DD000145	527.6063391	-0.55436096	0.457528907	-1.21164139	0.225649684	0.999973456
AMEX60DD000147	367.101771	1.689735074	0.437633385	3.861074439	0.00011289	0.009541232
AMEX60DD000148	328.1793873	-0.043942528	0.30009262	-0.146429885	0.883582037	0.999973456
AMEX60DD000150	19.75784242	-0.061991945	1.024191398	-0.060527695	0.951735359	0.999973456
AMEX60DD000152	12.55390735	-0.165055494	1.250156085	-0.132027909	0.894962217	0.999973456
AMEX60DD000153	106.6554172	0.14686346	0.62597802	0.234614403	0.814508029	0.999973456
AMEX60DD000155	105.6858361	-1.267146789	0.552683152	-2.292718322	0.021864227	0.387318594
AMEX60DD000156	24.80804747	-0.683117762	0.932619191	-0.732472341	0.463880319	0.999973456
AMEX60DD000157	35.02133691	0.356262386	1.018700059	0.349722553	0.726546926	0.999973456
AMEX60DD000159	17.52208334	-0.122588406	1.327103241	-0.092372923	0.926401752	0.999973456
AMEX60DD000160	333.2010928	-1.027823722	0.378547057	-2.715180856	0.006623959	0.17789194
AMEX60DD000163	1103.858008	0.132060725	0.234908373	0.562179725	0.573993574	0.999973456
AMEX60DD000164	2015.475063	-0.051691225	0.264492633	-0.195435405	0.845052102	0.999973456
AMEX60DD000166	2618.978181	-0.234709272	0.226962602	-1.034131921	0.301074495	0.999973456
AMEX60DD000167	32617.94995	-0.190062346	0.288761333	-0.658198743	0.510410433	0.999973456
AMEX60DD000168	35.38923557	-0.122258802	0.848174821	-0.1441434	0.885387234	0.999973456
AMEX60DD000170	201.7314015	-0.194134032	0.549302344	-0.353419268	0.723774143	0.999973456
AMEX60DD000171	4357.425195	-0.087117469	0.239353274	-0.36397024	0.715880233	0.999973456
AMEX60DD000172	3538.641712	0.054623209	0.256915519	0.21261156	0.831629954	0.999973456
AMEX60DD000173	31.80403515	-0.038579	0.96094727	-0.040146844	0.967976056	0.999973456
AMEX60DD000175	186.9744833	0.146662775	0.631840758	0.23211984	0.816444936	0.999973456
AMEX60DD000176	427.2799477	0.366115347	0.330307201	1.108408617	0.267685385	0.999973456
